recordid,labsampleid,week,weeksample,week_in25,weekredcap,fase,sampletypex,ncqvalue_d1,nresult_d1,ncopyreaction_d1,orf1abcqvalue_d1,orf1abresult_d1,orf1abcopyreaction_d1,ncqvalue_d2,nresult_d2,ncopyreaction_d2,orf1abcqvalue_d2,orf1abresult_d2,orf1abcopyreaction_d2,naddedlod,orf1abaddedlod,reported_value_n_geomean_cr,reported_value_orf_geomean_cr,reported_value_n_geomean_cpst,reported_value_orf_geomean_cpst,rnabatch_num,pcrbatch_num,n_qual_sum,orf1ab_qual_sum,samplecollectiondate,humidity,airtemperaturecelsius,rainfallmm,anyrainduring24hoursbefore,_merge_arm2,dup_labsampleid,locationtype,totalpopulationinsampledsubdistr,locationname_num,district,subdistrict,typeofsamplingphase1_num,_merge_arm1,totalconfirmedcases,totaldeath,_merge_arm5,s4_ra_geomean_cpst_n,s4_ra_geomean_cpst_orf,_merge_ra,concase_plus7d,concase_plus14d,concase_plus21d,_merge_concase,ncqval_mean,orfcqval_mean,ncqval_cat,orfcqval_cat
1.0,100610.0,11.0,11.0,11,week_11_arm_4,1,sewage,37.77,positive,7.7,,negative,,37.66,Positive,8.23,,negative,,,,7.96,2.5,1.59,0.5,RNA COV.MCRI.014,PCR COV.MCRI.014,Positive,Negative,2021-10-08,76.0,28.0,0.00508,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),3.0,1.0,matched (3),9.190915353719221,2.8876562754184523,matched (3),1.0,5.0,9.0,matched (3),37.715,,35<Ct value<=40,
1.0,100625.0,12.0,12.0,12,week_12_arm_4,1,sewage,37.77,positive,7.7,,negative,,,Negative,,36.81,positive,2.39,5.0,5.0,6.2,3.46,1.24,0.691,RNA COV.MCRI.014,PCR COV.MCRI.014,Positive,Positive,2021-10-11,53.0,30.0,0.00762,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),1.0,0.0,matched (3),3.370836126466796,1.8780760962956,matched (3),5.0,9.0,1.0,matched (3),37.77,36.81,35<Ct value<=40,1.0
1.0,100725.0,13.0,13.0,13,week_13_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.016,PCR COV.MCRI.016 A&B,Negative,Negative,2021-10-21,68.0,30.0,0.0,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),5.0,1.0,matched (3),3.0825880184552483,3.0825880184552483,matched (3),9.0,1.0,5.0,matched (3),,,,
1.0,100756.0,14.0,14.0,14,week_14_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.017,PCR COV.MCRI.017 A&B,Negative,Negative,2021-10-25,76.0,29.0,0.0127,No,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),9.0,0.0,matched (3),3.569685961782434,3.569685961782434,matched (3),1.0,5.0,4.0,matched (3),,,,
1.0,100868.0,15.0,15.0,15,week_15_arm_4,1,sewage,37.68,positive,5.35,,negative,,,Negative,,,negative,,5.0,,5.17,2.5,1.03,0.5,RNA COV.MCRI.019,PCR COV.MCRI.019,Positive,Negative,2021-11-05,74.0,29.0,0.0,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),1.0,1.0,matched (3),2.823296833676773,1.3645645108264366,matched (3),5.0,4.0,1.0,matched (3),37.68,,35<Ct value<=40,
1.0,100883.0,16.0,16.0,16,week_16_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.019,PCR COV.MCRI.019,Negative,Negative,2021-11-08,83.0,28.0,0.10668,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),5.0,0.0,matched (3),2.0995613770940205,2.0995613770940205,matched (3),4.0,1.0,2.0,matched (3),,,,
1.0,100995.0,17.0,17.0,17,week_17_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.021,PCR COV.MCRI.021A&B,Negative,Negative,2021-11-19,70.0,29.0,0.02286,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),4.0,0.0,matched (3),2.9444653369321454,2.9444653369321454,matched (3),1.0,2.0,1.0,matched (3),,,,
1.0,101010.0,18.0,18.0,18,week_18_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.022,PCR COV.MCRI.022A,Negative,Negative,2021-11-22,94.0,29.0,0.0762,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),1.0,0.0,matched (3),1.567356394406723,1.567356394406723,matched (3),2.0,1.0,0.0,matched (3),,,,
1.0,101122.0,19.0,19.0,19,week_19_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.024,PCR COV.MCRI.024,Negative,Negative,2021-12-02,68.0,29.0,0.0,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),2.0,0.0,matched (3),3.889866684343143,3.889866684343143,matched (3),1.0,0.0,3.0,matched (3),,,,
1.0,101137.0,20.0,20.0,20,week_20_arm_4,1,sewage,30.69,positive,482.0,29.52,positive,282.0,30.99,Positive,392.0,29.79,positive,234.0,,,435.0,257.0,86.9,51.4,RNA COV.MCRI.025,PCR COV.MCRI.025,Positive,Positive,2021-12-06,88.0,27.0,0.396241,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),1.0,0.0,matched (3),381.5174119606437,225.454929131503,matched (3),0.0,3.0,0.0,matched (3),30.84,29.655,30<Ct value<=35,3.0
1.0,101249.0,21.0,21.0,21,week_21_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.029,PCR COV.MCRI.029A&B,Negative,Negative,2021-12-16,86.0,28.0,0.04318,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),0.0,0.0,matched (3),4.473290018486401,4.473290018486401,matched (3),3.0,0.0,0.0,matched (3),,,,
1.0,101264.0,22.0,22.0,22,week_22_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.029,PCR COV.MCRI.029A&B,Negative,Negative,2021-12-20,90.0,28.0,0.393701,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),3.0,0.0,matched (3),1.2573537031745865,1.2573537031745865,matched (3),0.0,0.0,1.0,matched (3),,,,
1.0,101359.0,23.0,23.0,23,week_23_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.032,PCR COV.MCRI.032A&B,Negative,Negative,2021-12-29,74.0,29.0,0.00762,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),0.0,0.0,matched (3),4.1649680316717586,4.1649680316717586,matched (3),0.0,1.0,5.0,matched (3),,,,
1.0,101392.0,24.0,24.0,24,week_24_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.033,PCR COV.MCRI.033A,Negative,Negative,2022-01-03,71.0,28.0,0.05588,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 1,Sleman (semi urban),Mlati,Manholes (grab),matched (3),0.0,0.0,matched (3),0.9720746259599257,0.9720746259599257,matched (3),1.0,5.0,58.0,matched (3),,,,
2.0,100025.0,1.0,1.0,1,week_1_arm_4,1,sewage,29.46,positive,1970.0,28.41,positive,1080.0,29.42,Positive,2010.0,28.38,positive,1100.0,,,1990.0,1090.0,398.0,218.0,RNA COV.MCRI.002,PCR COV.MCRI.002,Positive,Positive,2021-07-28,66.0,28.0,0.0,,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),297.0,14.0,matched (3),6510.058756347915,3575.0020047530456,matched (3),224.0,181.0,186.0,matched (3),29.439999,28.395,25<Ct value<=30,3.0
2.0,100061.0,2.0,2.0,2,week_2_arm_4,1,sewage,31.27,positive,420.0,30.32,positive,240.0,31.0,Positive,508.0,29.83,positive,295.0,,,462.0,266.0,92.4,53.2,RNA COV.MCRI.003,PCR COV.MCRI.003A&B,Positive,Positive,2021-08-02,76.0,29.0,1.3,,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),224.0,19.0,matched (3),553.3400291927953,318.7541192573269,matched (3),181.0,186.0,301.0,matched (3),31.135,30.075,30<Ct value<=35,2.0
2.0,100137.0,3.0,3.0,3,week_3_arm_4,1,sewage,38.4,positive,6.02,36.42,positive,7.34,37.02,Positive,21.3,36.38,positive,15.0,,,11.3,10.5,2.27,2.1,RNA COV.MCRI.004,PCR COV.MCRI.004A&B,Positive,Positive,2021-08-09,74.0,28.0,0.0,,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),181.0,13.0,matched (3),2.2663327204980295,2.0977427869021503,matched (3),186.0,301.0,25.0,matched (3),37.71,36.4,35<Ct value<=40,1.0
2.0,100173.0,4.0,4.0,4,week_4_arm_4,1,sewage,24.01,positive,45700.0,23.55,positive,13000.0,24.0,Positive,46000.0,23.67,positive,12100.0,,,45900.0,12500.0,9170.0,2510.0,RNA COV.MCRI.005,PCR COV.MCRI.005,Positive,Positive,2021-08-16,74.0,29.0,0.0,No,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),186.0,6.0,matched (3),47008.35257921488,12848.173029113346,matched (3),301.0,25.0,77.0,matched (3),24.005001,23.61,10<Ct value<=25,4.0
2.0,100268.0,5.0,5.0,5,week_5_arm_4,1,sewage,33.67,positive,103.0,32.62,positive,16.9,33.12,Positive,154.0,32.23,positive,36.9,,,125.0,24.9,25.1,4.99,RNA COV.MCRI.006,PCR COV.MCRI.006A&B,Positive,Positive,2021-08-27,77.0,27.0,0.01524,No,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),301.0,7.0,matched (3),62.108483359262195,12.346931621165437,matched (3),25.0,77.0,10.0,matched (3),33.394997,32.425,30<Ct value<=35,2.0
2.0,100281.0,6.0,6.0,6,week_6_arm_4,1,sewage,35.36,positive,35.0,35.6,positive,1.58,34.3,Positive,75.0,34.82,positive,6.55,,,51.3,3.21,10.3,0.643,RNA COV.MCRI.006,PCR COV.MCRI.006A&B,Positive,Positive,2021-08-30,64.0,30.0,0.05,No,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),25.0,2.0,matched (3),13.990506914875377,0.8772874917834352,matched (3),77.0,10.0,15.0,matched (3),34.83,35.21,30<Ct value<=35,1.0
2.0,100380.0,7.0,7.0,7,week_7_arm_4,1,sewage,37.2,positive,5.52,35.64,positive,4.01,36.95,Positive,6.56,37.06,positive,1.5,,,6.01,2.45,1.2,0.491,RNA COV.MCRI.009,PCR COV.MCRI.009,Positive,Positive,2021-09-10,69.0,29.0,0.00762,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),77.0,1.0,matched (3),2.204712270603836,0.8994986739076544,matched (3),10.0,15.0,2.0,matched (3),37.075,36.35,35<Ct value<=40,1.0
2.0,100393.0,8.0,8.0,8,week_8_arm_4,1,sewage,38.01,positive,4.33,,negative,,38.04,Positive,4.25,,negative,,,,4.29,2.5,0.858,0.5,RNA COV.MCRI.010,PCR COV.MCRI.010,Positive,Negative,2021-09-13,84.0,28.0,0.139,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),10.0,2.0,matched (3),1.6054572243010217,0.9351899453820932,matched (3),15.0,2.0,3.0,matched (3),38.025,,35<Ct value<=40,
2.0,100492.0,9.0,9.0,9,week_9_arm_4,1,sewage,34.52,positive,23.6,36.1,positive,3.14,35.15,Positive,20.1,34.71,positive,12.6,,,21.8,6.29,4.36,1.26,RNA COV.MCRI.012,PCR COV.MCRI.012A,Positive,Positive,2021-09-24,75.0,29.0,0.04318,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),15.0,0.0,matched (3),14.199925909602197,4.0957920267068495,matched (3),2.0,3.0,1.0,matched (3),34.835,35.405,30<Ct value<=35,1.0
2.0,100505.0,10.0,10.0,10,week_10_arm_4,1,sewage,35.81,positive,9.08,37.19,positive,1.47,35.92,Positive,11.7,36.55,positive,3.78,,,10.3,2.36,2.06,0.472,RNA COV.MCRI.012,PCR COV.MCRI.012A,Positive,Positive,2021-09-27,74.0,28.0,0.0127,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),2.0,0.0,matched (3),2.3227065083019065,0.5318013320633964,matched (3),3.0,1.0,5.0,matched (3),35.864998,36.87,35<Ct value<=40,1.0
2.0,100611.0,11.0,11.0,11,week_11_arm_4,1,sewage,36.71,positive,14.6,37.52,positive,1.52,36.53,Positive,16.3,36.65,positive,2.65,,,15.5,2.01,3.09,0.401,RNA COV.MCRI.014,PCR COV.MCRI.014,Positive,Positive,2021-10-08,75.0,28.0,0.00762,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),3.0,1.0,matched (3),16.30280821450476,2.115481584976957,matched (3),1.0,5.0,9.0,matched (3),36.62,37.085,35<Ct value<=40,1.0
2.0,100626.0,12.0,12.0,12,week_12_arm_4,1,sewage,37.82,positive,5.07,36.86,positive,2.76,37.76,Positive,3.68,35.61,positive,3.1,,,4.32,2.93,0.864,0.586,RNA COV.MCRI.015re,PCR COV.MCRI.015reA&B,Positive,Positive,2021-10-11,53.0,30.0,0.00762,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),1.0,0.0,matched (3),1.814761816373584,1.2306634846098445,matched (3),5.0,9.0,1.0,matched (3),37.79,36.235,35<Ct value<=40,1.0
2.0,100726.0,13.0,13.0,13,week_13_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.016,PCR COV.MCRI.016 A&B,Negative,Negative,2021-10-21,67.0,30.0,0.0,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),5.0,1.0,matched (3),3.491475937252269,3.491475937252269,matched (3),9.0,1.0,5.0,matched (3),,,,
2.0,100757.0,14.0,14.0,14,week_14_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.017,PCR COV.MCRI.017 A&B,Negative,Negative,2021-10-25,75.0,29.0,0.01016,No,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),9.0,0.0,matched (3),1.4049447672146091,1.4049447672146091,matched (3),1.0,5.0,4.0,matched (3),,,,
2.0,100869.0,15.0,15.0,15,week_15_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.019,PCR COV.MCRI.019,Negative,Negative,2021-11-05,73.0,29.0,0.0,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),1.0,1.0,matched (3),1.6699880764511945,1.6699880764511945,matched (3),5.0,4.0,1.0,matched (3),,,,
2.0,100884.0,16.0,16.0,16,week_16_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.019,PCR COV.MCRI.019,Negative,Negative,2021-11-08,82.0,29.0,0.10922,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),5.0,0.0,matched (3),1.6756193179998475,1.6756193179998475,matched (3),4.0,1.0,2.0,matched (3),,,,
2.0,100996.0,17.0,17.0,17,week_17_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.022,PCR COV.MCRI.022A,Negative,Negative,2021-11-19,70.0,30.0,0.02286,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),4.0,0.0,matched (3),4.587140359156455,4.587140359156455,matched (3),1.0,2.0,1.0,matched (3),,,,
2.0,101011.0,18.0,18.0,18,week_18_arm_4,1,sewage,36.29,positive,12.3,36.3,positive,3.96,39.94,Positive,2.08,37.24,positive,2.64,,,5.05,3.23,1.01,0.646,RNA COV.MCRI.022,PCR COV.MCRI.022A,Positive,Positive,2021-11-22,93.0,29.0,0.08382,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),1.0,0.0,matched (3),9.754263624005667,6.233651006438849,matched (3),2.0,1.0,0.0,matched (3),38.114998,36.77,35<Ct value<=40,1.0
2.0,101123.0,19.0,19.0,19,week_19_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.025,PCR COV.MCRI.025,Negative,Negative,2021-12-02,69.0,29.0,0.0,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),2.0,0.0,matched (3),0.5,0.5,matched (3),1.0,0.0,3.0,matched (3),,,,
2.0,101138.0,20.0,20.0,20,week_20_arm_4,1,sewage,30.3,positive,632.0,29.45,positive,295.0,30.4,Positive,590.0,29.07,positive,382.0,,,611.0,336.0,122.0,67.2,RNA COV.MCRI.025,PCR COV.MCRI.025,Positive,Positive,2021-12-06,87.0,27.0,0.416561,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),1.0,0.0,matched (3),359.1181974633544,197.49115089264285,matched (3),0.0,3.0,0.0,matched (3),30.349998,29.26,30<Ct value<=35,3.0
2.0,101250.0,21.0,21.0,21,week_21_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.029,PCR COV.MCRI.029A&B,Negative,Negative,2021-12-16,85.0,28.0,0.04064,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),0.0,0.0,matched (3),37.04722737700849,37.04722737700849,matched (3),3.0,0.0,0.0,matched (3),,,,
2.0,101265.0,22.0,22.0,22,week_22_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.029,PCR COV.MCRI.029A&B,Negative,Negative,2021-12-20,90.0,28.0,0.393701,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),3.0,0.0,matched (3),0.7537637421333601,0.7537637421333601,matched (3),0.0,0.0,1.0,matched (3),,,,
2.0,101360.0,23.0,23.0,23,week_23_arm_4,1,sewage,,negative,,,negative,,,Negative,,,negative,,,,2.5,2.5,0.5,0.5,RNA COV.MCRI.032,PCR COV.MCRI.032A&B,Negative,Negative,2021-12-29,74.0,29.0,0.00762,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),0.0,0.0,matched (3),0.5,0.5,matched (3),0.0,1.0,5.0,matched (3),,,,
2.0,101393.0,24.0,24.0,24,week_24_arm_4,1,sewage,31.79,positive,320.0,32.2,positive,65.6,31.81,Positive,400.0,31.86,positive,114.0,,,357.0,86.6,71.5,17.3,RNA COV.MCRI.032,PCR COV.MCRI.032A&B,Positive,Positive,2022-01-03,72.0,28.0,0.05842,Yes,matched (3),0.0,Manhole,100524.0,Mlati Manhole 2,Sleman (semi urban),Mlati,Manholes (grab),matched (3),0.0,0.0,matched (3),124.05763744602837,30.04879387442551,matched (3),1.0,5.0,58.0,matched (3),31.8,32.03,30<Ct value<=35,2.0
